timestamp,cpu_percent,mem_used_mb,mem_total_mb,mem_percent,load_1m
2026-05-26T18:59:13+00:00,3.2,352,1963,17.95,0.54
2026-05-26T18:59:14+00:00,100,352,1963,17.96,0.50
2026-05-26T18:59:15+00:00,100,352,1963,17.96,0.50
2026-05-26T18:59:16+00:00,3.2,352,1963,17.96,0.50
2026-05-26T18:59:18+00:00,6.1,352,1963,17.96,0.50
2026-05-26T18:59:19+00:00,6.1,352,1963,17.96,0.45
2026-05-26T18:59:20+00:00,6.2,352,1963,17.96,0.45
2026-05-26T18:59:21+00:00,100,352,1963,17.96,0.45
2026-05-26T18:59:22+00:00,3.1,352,1963,17.96,0.45
2026-05-26T18:59:24+00:00,3.2,352,1963,17.96,0.42
2026-05-26T18:59:25+00:00,3.1,352,1963,17.96,0.42
2026-05-26T18:59:26+00:00,3.2,352,1963,17.96,0.42
2026-05-26T18:59:27+00:00,3.1,352,1963,17.95,0.42
2026-05-26T18:59:28+00:00,9.4,352,1963,17.95,0.42
2026-05-26T18:59:30+00:00,6.1,352,1963,17.95,0.38
2026-05-26T18:59:31+00:00,8.8,352,1963,17.95,0.38
2026-05-26T18:59:32+00:00,5.9,352,1963,17.96,0.38
2026-05-26T18:59:33+00:00,15.2,352,1963,17.96,0.38
2026-05-26T18:59:35+00:00,6.1,352,1963,17.96,0.43
2026-05-26T18:59:36+00:00,100,352,1963,17.95,0.43
2026-05-26T18:59:37+00:00,3.1,352,1963,17.95,0.43
2026-05-26T18:59:38+00:00,6.1,352,1963,17.95,0.43
2026-05-26T18:59:39+00:00,3,352,1963,17.95,0.40
2026-05-26T18:59:41+00:00,8.8,352,1963,17.95,0.40
2026-05-26T18:59:42+00:00,9.4,352,1963,17.95,0.40
2026-05-26T18:59:43+00:00,3.2,352,1963,17.95,0.40
2026-05-26T18:59:44+00:00,6.1,352,1963,17.95,0.37
2026-05-26T18:59:45+00:00,5.9,352,1963,17.95,0.37
2026-05-26T18:59:47+00:00,6.1,352,1963,17.96,0.37
2026-05-26T18:59:48+00:00,3,352,1963,17.96,0.37
2026-05-26T18:59:49+00:00,3,352,1963,17.96,0.34
2026-05-26T18:59:50+00:00,8.6,352,1963,17.96,0.34
2026-05-26T18:59:52+00:00,3,352,1963,17.96,0.34
2026-05-26T18:59:53+00:00,3.2,352,1963,17.96,0.34
2026-05-26T18:59:54+00:00,3.1,352,1963,17.96,0.31
2026-05-26T18:59:55+00:00,6.1,352,1963,17.96,0.31
2026-05-26T18:59:56+00:00,8.8,352,1963,17.96,0.31
2026-05-26T18:59:58+00:00,8.6,352,1963,17.96,0.31
2026-05-26T18:59:59+00:00,3.1,352,1963,17.96,0.28
2026-05-26T19:00:00+00:00,100,352,1963,17.96,0.28
2026-05-26T19:00:01+00:00,3.1,352,1963,17.96,0.28
2026-05-26T19:00:02+00:00,6.1,352,1963,17.97,0.28
2026-05-26T19:00:04+00:00,12.5,352,1963,17.97,0.26
2026-05-26T19:00:05+00:00,100,352,1963,17.96,0.26
2026-05-26T19:00:06+00:00,6.1,352,1963,17.96,0.26
2026-05-26T19:00:07+00:00,3.1,352,1963,17.96,0.26
2026-05-26T19:00:08+00:00,5.9,352,1963,17.96,0.26
2026-05-26T19:00:10+00:00,3,352,1963,17.96,0.40
2026-05-26T19:00:11+00:00,3.2,352,1963,17.96,0.40
2026-05-26T19:00:12+00:00,3.1,352,1963,17.96,0.40
2026-05-26T19:00:13+00:00,15.2,352,1963,17.96,0.40
2026-05-26T19:00:15+00:00,11.4,352,1963,17.96,0.45
2026-05-26T19:00:16+00:00,6.2,352,1963,17.96,0.45
2026-05-26T19:00:17+00:00,6.2,352,1963,17.96,0.45
2026-05-26T19:00:18+00:00,3.2,352,1963,17.96,0.45
2026-05-26T19:00:19+00:00,8.6,352,1963,17.96,0.41
2026-05-26T19:00:21+00:00,5.9,352,1963,17.96,0.41
2026-05-26T19:00:22+00:00,6.1,352,1963,17.96,0.41
2026-05-26T19:00:23+00:00,5.9,352,1963,17.96,0.41
2026-05-26T19:00:24+00:00,6.1,352,1963,17.96,0.38
2026-05-26T19:00:26+00:00,100,352,1963,17.96,0.38
2026-05-26T19:00:27+00:00,3.1,352,1963,17.96,0.38
2026-05-26T19:00:28+00:00,9.4,352,1963,17.97,0.38
2026-05-26T19:00:29+00:00,3.1,352,1963,17.97,0.35
2026-05-26T19:00:30+00:00,5.9,352,1963,17.97,0.35
2026-05-26T19:00:32+00:00,3,352,1963,17.97,0.35
2026-05-26T19:00:33+00:00,5.9,353,1963,17.98,0.35
2026-05-26T19:00:34+00:00,6.1,353,1963,17.98,0.32
2026-05-26T19:00:35+00:00,3.1,353,1963,17.98,0.32
2026-05-26T19:00:36+00:00,3.1,353,1963,17.98,0.32
2026-05-26T19:00:38+00:00,6.1,353,1963,17.99,0.32
2026-05-26T19:00:39+00:00,3.1,353,1963,18.02,0.30
2026-05-26T19:00:40+00:00,8.8,353,1963,18.02,0.30
2026-05-26T19:00:41+00:00,6.1,353,1963,18.02,0.30
2026-05-26T19:00:43+00:00,100,353,1963,18.02,0.30
2026-05-26T19:00:44+00:00,6.1,353,1963,18.02,0.35
2026-05-26T19:00:45+00:00,6.1,353,1963,18.02,0.35
2026-05-26T19:00:46+00:00,3,353,1963,18.02,0.35
2026-05-26T19:00:47+00:00,11.8,353,1963,18.02,0.35
2026-05-26T19:00:49+00:00,3.1,353,1963,18.02,0.32
2026-05-26T19:00:50+00:00,6.1,353,1963,18.02,0.32
2026-05-26T19:00:51+00:00,3,353,1963,18.02,0.32
2026-05-26T19:00:52+00:00,3.1,353,1963,18.02,0.32
2026-05-26T19:00:53+00:00,57.6,353,1963,18.02,0.32
2026-05-26T19:00:55+00:00,9.4,353,1963,18.02,0.30
2026-05-26T19:00:56+00:00,3.2,353,1963,18.02,0.30
2026-05-26T19:00:57+00:00,3,353,1963,18.02,0.30
2026-05-26T19:00:58+00:00,11.8,353,1963,18.02,0.30
2026-05-26T19:01:00+00:00,5.9,353,1963,18.02,0.27
2026-05-26T19:01:01+00:00,6.2,353,1963,18.02,0.27
2026-05-26T19:01:02+00:00,3.1,353,1963,18.02,0.27
2026-05-26T19:01:03+00:00,3.1,353,1963,18.02,0.27
2026-05-26T19:01:04+00:00,8.6,353,1963,18.02,0.25
2026-05-26T19:01:06+00:00,5.7,353,1963,18.02,0.25
2026-05-26T19:01:07+00:00,6.1,353,1963,18.02,0.25
2026-05-26T19:01:08+00:00,3.2,353,1963,18.02,0.25
2026-05-26T19:01:09+00:00,3.2,353,1963,18.02,0.23
2026-05-26T19:01:10+00:00,8.6,353,1963,18.02,0.23
2026-05-26T19:01:12+00:00,6.1,353,1963,18.02,0.23
2026-05-26T19:01:13+00:00,5.9,353,1963,18.02,0.23
