timestamp,http_code,time_total,time_connect,time_appconnect,time_starttransfer,size_download
2026-05-26T19:00:26+00:00,200,0.254264,0.002804,0.244170,0.254204,615
2026-05-26T19:00:26+00:00,200,0.345263,0.000705,0.342919,0.345204,615
2026-05-26T19:00:26+00:00,200,0.332124,0.008677,0.326074,0.332068,615
2026-05-26T19:00:30+00:00,200,1.264915,0.021169,1.256016,1.264808,615
2026-05-26T19:00:30+00:00,200,0.506225,0.002855,0.488561,0.506139,615
2026-05-26T19:00:30+00:00,200,0.542315,0.009400,0.540062,0.542217,615
2026-05-26T19:00:30+00:00,200,0.549926,0.014391,0.537908,0.549820,615
2026-05-26T19:00:30+00:00,200,0.488824,0.007847,0.483603,0.488745,615
2026-05-26T19:00:36+00:00,200,1.078354,0.011572,1.076087,1.078263,615
2026-05-26T19:00:36+00:00,200,0.478488,0.002968,0.472615,0.478406,615
2026-05-26T19:00:36+00:00,200,0.439503,0.002091,0.427484,0.439438,615
2026-05-26T19:00:36+00:00,200,0.553845,0.004381,0.542712,0.553771,615
2026-05-26T19:00:36+00:00,200,0.527902,0.020257,0.525535,0.527846,615
2026-05-26T19:00:43+00:00,200,1.142340,0.011458,1.132565,1.142215,615
2026-05-26T19:00:43+00:00,200,0.703524,0.005770,0.700950,0.703426,615
2026-05-26T19:00:43+00:00,200,0.437168,0.014558,0.411637,0.437099,615
2026-05-26T19:00:43+00:00,200,0.547776,0.002221,0.542472,0.547362,615
2026-05-26T19:00:43+00:00,200,0.483862,0.012660,0.482036,0.483804,615
2026-05-26T19:00:50+00:00,200,1.106707,0.002233,1.061155,1.106611,615
2026-05-26T19:00:50+00:00,200,0.506290,0.005420,0.496961,0.506213,615
2026-05-26T19:00:50+00:00,200,0.381510,0.008344,0.368481,0.381427,615
2026-05-26T19:00:50+00:00,200,0.491463,0.004656,0.472750,0.491400,615
2026-05-26T19:00:50+00:00,200,0.498422,0.009656,0.480392,0.498357,615
2026-05-26T19:00:57+00:00,200,0.788903,0.003767,0.774858,0.788796,615
2026-05-26T19:00:57+00:00,200,0.578237,0.005738,0.569213,0.578166,615
2026-05-26T19:00:57+00:00,200,0.381224,0.017874,0.373056,0.381157,615
2026-05-26T19:00:57+00:00,200,0.255011,0.002149,0.252061,0.254922,615
2026-05-26T19:00:57+00:00,200,0.202489,0.004299,0.195287,0.202426,615
2026-05-26T19:01:03+00:00,200,0.793169,0.003204,0.791409,0.793059,615
2026-05-26T19:01:03+00:00,200,0.641867,0.005651,0.633581,0.641788,615
2026-05-26T19:01:03+00:00,200,0.506372,0.004750,0.501026,0.506296,615
2026-05-26T19:01:03+00:00,200,0.433288,0.006715,0.431626,0.433219,615
2026-05-26T19:01:03+00:00,200,0.212910,0.005858,0.208311,0.212852,615
2026-05-26T19:01:10+00:00,200,0.897815,0.001268,0.887785,0.897724,615
2026-05-26T19:01:10+00:00,200,0.800259,0.002441,0.798437,0.800188,615
2026-05-26T19:01:10+00:00,200,0.368276,0.015463,0.359256,0.368212,615
2026-05-26T19:01:10+00:00,200,0.252502,0.002443,0.246049,0.252430,615
2026-05-26T19:01:10+00:00,200,0.228645,0.008664,0.227027,0.228585,615
2026-05-26T19:01:17+00:00,200,1.128536,0.017075,1.104114,1.128442,615
2026-05-26T19:01:17+00:00,200,0.740488,0.040612,0.726970,0.740419,615
2026-05-26T19:01:17+00:00,200,0.566689,0.001375,0.559493,0.566625,615
2026-05-26T19:01:17+00:00,200,0.504786,0.006725,0.499507,0.504688,615
2026-05-26T19:01:17+00:00,200,0.473333,0.035269,0.470941,0.473262,615
2026-05-26T19:01:23+00:00,200,0.984815,0.046215,0.971322,0.984721,615
2026-05-26T19:01:23+00:00,200,0.629537,0.008570,0.619516,0.629465,615
2026-05-26T19:01:23+00:00,200,0.460692,0.030733,0.454233,0.460629,615
2026-05-26T19:01:23+00:00,200,0.359988,0.002877,0.343302,0.359916,615
2026-05-26T19:01:23+00:00,200,0.388257,0.000706,0.377062,0.388196,615
2026-05-26T19:01:29+00:00,200,1.111282,0.005812,1.082009,1.111199,615
2026-05-26T19:01:29+00:00,200,0.551012,0.026857,0.521526,0.550929,615
2026-05-26T19:01:29+00:00,200,0.544729,0.003915,0.523062,0.544658,615
2026-05-26T19:01:29+00:00,200,0.519773,0.014851,0.517942,0.519710,615
2026-05-26T19:01:29+00:00,200,0.404689,0.008594,0.399036,0.404617,615
2026-05-26T19:01:36+00:00,200,0.751634,0.007890,0.728500,0.751532,615
2026-05-26T19:01:36+00:00,200,0.949737,0.005472,0.939591,0.949660,615
2026-05-26T19:01:36+00:00,200,0.652388,0.009724,0.647391,0.652330,615
2026-05-26T19:01:36+00:00,200,0.571703,0.011349,0.568589,0.571645,615
2026-05-26T19:01:36+00:00,200,0.412541,0.045249,0.409916,0.412487,615
2026-05-26T19:01:43+00:00,200,1.142412,0.004963,1.132324,1.142327,615
2026-05-26T19:01:43+00:00,200,0.512644,0.025982,0.509288,0.512571,615
2026-05-26T19:01:43+00:00,200,0.313506,0.010320,0.306172,0.313437,615
2026-05-26T19:01:43+00:00,200,0.297341,0.003286,0.286968,0.297272,615
2026-05-26T19:01:43+00:00,200,0.365056,0.012309,0.352047,0.364993,615
2026-05-26T19:01:49+00:00,200,0.937222,0.008634,0.913412,0.937100,615
2026-05-26T19:01:49+00:00,200,0.920736,0.020550,0.913436,0.920638,615
2026-05-26T19:01:49+00:00,200,0.309529,0.003293,0.298972,0.309462,615
2026-05-26T19:01:49+00:00,200,0.468752,0.009950,0.447731,0.468692,615
2026-05-26T19:01:49+00:00,200,0.491047,0.012702,0.484275,0.490982,615
2026-05-26T19:01:56+00:00,200,0.832956,0.002202,0.831004,0.832838,615
2026-05-26T19:01:56+00:00,200,0.527869,0.001080,0.523557,0.527792,615
