timestamp,cpu_percent,mem_used_mb,mem_total_mb,mem_percent,load_1m
2026-05-26T18:59:13+00:00,100,280,957,29.28,0.00
2026-05-26T18:59:14+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:15+00:00,100,280,957,29.28,0.00
2026-05-26T18:59:16+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:18+00:00,16.7,280,957,29.28,0.00
2026-05-26T18:59:19+00:00,11.8,280,957,29.28,0.00
2026-05-26T18:59:20+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:21+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:23+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:24+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:25+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:26+00:00,100,280,957,29.28,0.00
2026-05-26T18:59:27+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:29+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:30+00:00,100,280,957,29.28,0.00
2026-05-26T18:59:31+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:32+00:00,11.8,280,957,29.28,0.00
2026-05-26T18:59:34+00:00,12.5,280,957,29.28,0.00
2026-05-26T18:59:35+00:00,12.5,280,957,29.28,0.00
2026-05-26T18:59:36+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:37+00:00,11.8,280,957,29.28,0.00
2026-05-26T18:59:38+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:40+00:00,33.3,280,957,29.28,0.00
2026-05-26T18:59:41+00:00,11.8,280,957,29.28,0.00
2026-05-26T18:59:42+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:43+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:45+00:00,6.2,280,957,29.28,0.00
2026-05-26T18:59:46+00:00,6.7,280,957,29.28,0.00
2026-05-26T18:59:47+00:00,12.5,280,957,29.28,0.00
