timestamp,cpu_percent,mem_used_mb,mem_total_mb,mem_percent,load_1m
2026-05-26T18:54:06+00:00,3.1,347,1963,17.67,0.05
2026-05-26T18:54:07+00:00,3.2,347,1963,17.67,0.05
2026-05-26T18:54:08+00:00,3.1,347,1963,17.67,0.04
2026-05-26T18:54:10+00:00,3.1,347,1963,17.67,0.04
2026-05-26T18:54:11+00:00,100,347,1963,17.67,0.04
2026-05-26T18:54:12+00:00,3.1,347,1963,17.67,0.04
2026-05-26T18:54:13+00:00,100,347,1963,17.67,0.04
2026-05-26T18:54:14+00:00,100,347,1963,17.67,0.04
2026-05-26T18:54:16+00:00,100,347,1963,17.67,0.04
2026-05-26T18:54:17+00:00,3.1,346,1963,17.67,0.04
2026-05-26T18:54:18+00:00,100,346,1963,17.67,0.04
2026-05-26T18:54:19+00:00,100,346,1963,17.67,0.04
2026-05-26T18:54:20+00:00,6.2,346,1963,17.67,0.04
2026-05-26T18:54:21+00:00,6.1,346,1963,17.67,0.04
2026-05-26T18:54:23+00:00,100,347,1963,17.68,0.04
2026-05-26T18:54:24+00:00,3.1,347,1963,17.69,0.03
2026-05-26T18:54:25+00:00,3.1,347,1963,17.69,0.03
2026-05-26T18:54:26+00:00,3.1,347,1963,17.69,0.03
2026-05-26T18:54:27+00:00,3.1,347,1963,17.69,0.03
2026-05-26T18:54:29+00:00,3.1,347,1963,17.69,0.03
2026-05-26T18:54:30+00:00,100,347,1963,17.69,0.03
2026-05-26T18:54:31+00:00,6.1,347,1963,17.69,0.03
2026-05-26T18:54:32+00:00,100,347,1963,17.69,0.03
2026-05-26T18:54:33+00:00,6.7,347,1963,17.69,0.03
2026-05-26T18:54:34+00:00,3.2,347,1963,17.69,0.03
2026-05-26T18:54:36+00:00,3.2,347,1963,17.69,0.03
2026-05-26T18:54:37+00:00,3.2,347,1963,17.69,0.03
2026-05-26T18:54:38+00:00,100,347,1963,17.69,0.03
2026-05-26T18:54:39+00:00,6.5,347,1963,17.69,0.02
2026-05-26T18:54:40+00:00,3.1,347,1963,17.69,0.02
2026-05-26T18:54:42+00:00,100,347,1963,17.71,0.02
2026-05-26T18:54:43+00:00,6.5,347,1963,17.72,0.02
2026-05-26T18:54:44+00:00,3.2,347,1963,17.71,0.02
2026-05-26T18:54:45+00:00,3.1,347,1963,17.71,0.02
2026-05-26T18:54:46+00:00,3.2,347,1963,17.71,0.02
2026-05-26T18:54:48+00:00,3.2,348,1963,17.74,0.02
2026-05-26T18:54:49+00:00,100,348,1963,17.74,0.02
2026-05-26T18:54:50+00:00,100,348,1963,17.74,0.02
2026-05-26T18:54:51+00:00,100,348,1963,17.75,0.02
2026-05-26T18:54:52+00:00,3.2,348,1963,17.75,0.02
2026-05-26T18:54:53+00:00,29,348,1963,17.75,0.02
2026-05-26T18:54:55+00:00,100,348,1963,17.75,0.02
2026-05-26T18:54:56+00:00,100,348,1963,17.75,0.02
2026-05-26T18:54:57+00:00,3.1,348,1963,17.75,0.02
2026-05-26T18:54:58+00:00,3.1,348,1963,17.75,0.02
2026-05-26T18:54:59+00:00,3.2,348,1963,17.75,0.02
2026-05-26T18:55:01+00:00,100,348,1963,17.75,0.02
2026-05-26T18:55:02+00:00,3.1,348,1963,17.75,0.02
2026-05-26T18:55:03+00:00,3.2,348,1963,17.75,0.02
2026-05-26T18:55:04+00:00,3.1,348,1963,17.75,0.02
2026-05-26T18:55:05+00:00,3.2,348,1963,17.75,0.02
2026-05-26T18:55:06+00:00,6.2,348,1963,17.76,0.02
2026-05-26T18:55:08+00:00,100,348,1963,17.76,0.02
2026-05-26T18:55:09+00:00,3.2,348,1963,17.76,0.01
2026-05-26T18:55:10+00:00,3.1,348,1963,17.76,0.01
2026-05-26T18:55:11+00:00,100,348,1963,17.76,0.01
2026-05-26T18:55:12+00:00,6.2,348,1963,17.76,0.01
2026-05-26T18:55:14+00:00,12.9,348,1963,17.76,0.01
2026-05-26T18:55:15+00:00,3.2,348,1963,17.76,0.01
2026-05-26T18:55:16+00:00,6.2,348,1963,17.76,0.01
2026-05-26T18:55:17+00:00,100,348,1963,17.76,0.01
2026-05-26T18:55:18+00:00,6.5,348,1963,17.76,0.01
2026-05-26T18:55:19+00:00,6.5,348,1963,17.76,0.25
2026-05-26T18:55:21+00:00,6.2,348,1963,17.76,0.25
2026-05-26T18:55:22+00:00,3.1,348,1963,17.76,0.25
2026-05-26T18:55:23+00:00,3.3,348,1963,17.76,0.25
2026-05-26T18:55:24+00:00,3.2,348,1963,17.76,0.23
2026-05-26T18:55:25+00:00,6.1,348,1963,17.76,0.23
2026-05-26T18:55:27+00:00,100,348,1963,17.76,0.23
2026-05-26T18:55:28+00:00,100,348,1963,17.76,0.23
2026-05-26T18:55:29+00:00,3.1,348,1963,17.76,0.21
2026-05-26T18:55:30+00:00,3.1,348,1963,17.76,0.21
2026-05-26T18:55:31+00:00,3.1,348,1963,17.76,0.21
2026-05-26T18:55:32+00:00,3.2,348,1963,17.76,0.21
2026-05-26T18:55:34+00:00,6.2,348,1963,17.76,0.20
2026-05-26T18:55:35+00:00,100,348,1963,17.76,0.20
2026-05-26T18:55:36+00:00,3.1,348,1963,17.76,0.20
2026-05-26T18:55:37+00:00,6.2,348,1963,17.76,0.20
2026-05-26T18:55:38+00:00,3.1,348,1963,17.76,0.18
2026-05-26T18:55:40+00:00,38.2,348,1963,17.76,0.18
2026-05-26T18:55:42+00:00,35.7,348,1963,17.76,0.18
2026-05-26T18:55:44+00:00,88.2,348,1963,17.76,0.16
2026-05-26T18:55:46+00:00,33.3,348,1963,17.76,0.16
2026-05-26T18:55:48+00:00,14.6,348,1963,17.76,0.16
2026-05-26T18:55:49+00:00,100,348,1963,17.76,0.15
2026-05-26T18:55:50+00:00,23.1,348,1963,17.76,0.15
2026-05-26T18:55:52+00:00,5.9,348,1963,17.76,0.15
2026-05-26T18:55:53+00:00,3.1,348,1963,17.76,0.15
