timestamp,http_code,time_total,time_connect,time_appconnect,time_starttransfer,size_download
2026-05-26T18:49:02+00:00,200,0.031522,0.002858,0.028885,0.031253,257
2026-05-26T18:49:02+00:00,200,0.032705,0.002087,0.024049,0.032544,257
2026-05-26T18:49:02+00:00,200,0.033337,0.005404,0.024497,0.033159,257
2026-05-26T18:49:02+00:00,200,0.028952,0.004439,0.021783,0.028781,257
2026-05-26T18:49:02+00:00,200,0.032259,0.004196,0.021893,0.031926,257
2026-05-26T18:49:03+00:00,200,0.033740,0.009280,0.026743,0.033573,257
2026-05-26T18:49:03+00:00,200,0.038332,0.012212,0.027993,0.038242,257
2026-05-26T18:49:03+00:00,200,0.034304,0.010214,0.025436,0.034172,257
2026-05-26T18:49:03+00:00,200,0.030256,0.010390,0.025106,0.030176,257
2026-05-26T18:49:03+00:00,200,0.019513,0.002611,0.015360,0.019427,257
2026-05-26T18:49:04+00:00,200,0.027656,0.006782,0.023645,0.027545,257
2026-05-26T18:49:04+00:00,200,0.031380,0.012323,0.025709,0.031321,257
2026-05-26T18:49:04+00:00,200,0.020049,0.000507,0.014177,0.019946,257
2026-05-26T18:49:04+00:00,200,0.020004,0.002615,0.015483,0.019888,257
2026-05-26T18:49:04+00:00,200,0.030512,0.013368,0.026695,0.030343,257
2026-05-26T18:49:05+00:00,200,0.045106,0.013885,0.038675,0.044969,257
2026-05-26T18:49:05+00:00,200,0.035216,0.002742,0.029106,0.035090,257
2026-05-26T18:49:05+00:00,200,0.038768,0.005658,0.028584,0.038617,257
2026-05-26T18:49:05+00:00,200,0.034200,0.005447,0.031601,0.034084,257
2026-05-26T18:49:05+00:00,200,0.033581,0.000701,0.031839,0.033452,257
2026-05-26T18:49:06+00:00,200,0.031193,0.000617,0.023570,0.031073,257
2026-05-26T18:49:06+00:00,200,0.030285,0.003722,0.024297,0.030178,257
2026-05-26T18:49:06+00:00,200,0.030380,0.001255,0.029261,0.030238,257
2026-05-26T18:49:06+00:00,200,0.032581,0.002904,0.028205,0.032476,257
2026-05-26T18:49:06+00:00,200,0.024297,0.002742,0.019238,0.024163,257
2026-05-26T18:49:07+00:00,200,0.026465,0.002627,0.023143,0.026286,257
2026-05-26T18:49:07+00:00,200,0.037722,0.007418,0.029736,0.037483,257
2026-05-26T18:49:07+00:00,200,0.041592,0.016091,0.030870,0.041480,257
2026-05-26T18:49:07+00:00,200,0.037046,0.007726,0.029205,0.036976,257
2026-05-26T18:49:07+00:00,200,0.023214,0.003285,0.017165,0.023125,257
2026-05-26T18:49:09+00:00,200,0.029987,0.003725,0.024825,0.029854,257
2026-05-26T18:49:09+00:00,200,0.025910,0.000717,0.016694,0.025731,257
2026-05-26T18:49:09+00:00,200,0.035140,0.006612,0.027986,0.035009,257
2026-05-26T18:49:09+00:00,200,0.037116,0.009193,0.026780,0.036941,257
2026-05-26T18:49:09+00:00,200,0.032494,0.004311,0.023168,0.032273,257
2026-05-26T18:49:10+00:00,200,0.027026,0.003679,0.021208,0.026900,257
2026-05-26T18:49:10+00:00,200,0.033437,0.001352,0.025216,0.028593,257
2026-05-26T18:49:10+00:00,200,0.024209,0.003523,0.015087,0.024076,257
2026-05-26T18:49:10+00:00,200,0.034766,0.010329,0.028415,0.034612,257
2026-05-26T18:49:10+00:00,200,0.025673,0.004985,0.021837,0.025534,257
2026-05-26T18:49:11+00:00,200,0.027258,0.006765,0.018045,0.027055,257
2026-05-26T18:49:11+00:00,200,0.024507,0.001394,0.016973,0.024408,257
2026-05-26T18:49:11+00:00,200,0.028948,0.007461,0.022770,0.028802,257
2026-05-26T18:49:11+00:00,200,0.029037,0.007912,0.022199,0.028957,257
2026-05-26T18:49:11+00:00,200,0.028138,0.004213,0.022006,0.028014,257
2026-05-26T18:49:12+00:00,200,0.039491,0.017438,0.027216,0.039274,257
2026-05-26T18:49:12+00:00,200,0.041958,0.016678,0.030690,0.041807,257
2026-05-26T18:49:12+00:00,200,0.027811,0.001004,0.019499,0.027657,257
2026-05-26T18:49:12+00:00,200,0.037451,0.017822,0.030616,0.037328,257
2026-05-26T18:49:12+00:00,200,0.030298,0.002962,0.029067,0.030177,257
2026-05-26T18:49:13+00:00,200,0.034971,0.013220,0.028730,0.034853,257
2026-05-26T18:49:13+00:00,200,0.034559,0.012375,0.029563,0.034436,257
2026-05-26T18:49:13+00:00,200,0.036847,0.011216,0.027954,0.036807,257
2026-05-26T18:49:13+00:00,200,0.024321,0.001037,0.020882,0.024178,257
2026-05-26T18:49:13+00:00,200,0.029029,0.006963,0.022011,0.028905,257
2026-05-26T18:49:14+00:00,200,0.030439,0.000451,0.022738,0.030253,257
2026-05-26T18:49:14+00:00,200,0.036698,0.002869,0.024149,0.031048,257
2026-05-26T18:49:14+00:00,200,0.030362,0.007193,0.020712,0.030207,257
2026-05-26T18:49:14+00:00,200,0.021086,0.000714,0.015254,0.020956,257
2026-05-26T18:49:14+00:00,200,0.043889,0.015369,0.035958,0.043805,257
2026-05-26T18:49:15+00:00,200,0.033440,0.009496,0.023664,0.033324,257
2026-05-26T18:49:15+00:00,200,0.028156,0.003772,0.022899,0.028033,257
2026-05-26T18:49:15+00:00,200,0.031913,0.006827,0.024954,0.031808,257
2026-05-26T18:49:15+00:00,200,0.034724,0.015128,0.030932,0.034566,257
2026-05-26T18:49:15+00:00,200,0.029748,0.004355,0.021489,0.029613,257
2026-05-26T18:49:16+00:00,200,0.025048,0.004240,0.017878,0.024938,257
2026-05-26T18:49:16+00:00,200,0.032466,0.009475,0.023516,0.032345,257
2026-05-26T18:49:16+00:00,200,0.032093,0.006958,0.031092,0.031925,257
2026-05-26T18:49:16+00:00,200,0.021350,0.003541,0.015909,0.021248,257
2026-05-26T18:49:16+00:00,200,0.035998,0.018555,0.035291,0.035936,257
2026-05-26T18:49:17+00:00,200,0.019266,0.000647,0.018463,0.019139,257
2026-05-26T18:49:17+00:00,200,0.034407,0.013345,0.028920,0.034341,257
2026-05-26T18:49:17+00:00,200,0.025363,0.006508,0.024347,0.025299,257
2026-05-26T18:49:17+00:00,200,0.032339,0.012483,0.027915,0.032178,257
2026-05-26T18:49:17+00:00,200,0.036040,0.011571,0.030584,0.035883,257
2026-05-26T18:49:19+00:00,200,0.024524,0.003289,0.014507,0.024408,257
2026-05-26T18:49:19+00:00,200,0.037312,0.008960,0.033485,0.037153,257
2026-05-26T18:49:19+00:00,200,0.021580,0.000741,0.014346,0.021471,257
2026-05-26T18:49:19+00:00,200,0.027750,0.000634,0.025322,0.027590,257
2026-05-26T18:49:19+00:00,200,0.030527,0.002114,0.025853,0.030296,257
2026-05-26T18:49:20+00:00,200,0.028492,0.008054,0.022837,0.028394,257
2026-05-26T18:49:20+00:00,200,0.017419,0.004767,0.016758,0.017310,257
2026-05-26T18:49:20+00:00,200,0.027083,0.009274,0.023096,0.026962,257
2026-05-26T18:49:20+00:00,200,0.029732,0.008753,0.023667,0.029534,257
2026-05-26T18:49:20+00:00,200,0.026373,0.007253,0.024131,0.026246,257
2026-05-26T18:49:21+00:00,200,0.032798,0.008265,0.032018,0.032679,257
2026-05-26T18:49:21+00:00,200,0.039400,0.000996,0.017788,0.023195,257
2026-05-26T18:49:21+00:00,200,0.031069,0.009798,0.023490,0.030939,257
2026-05-26T18:49:21+00:00,200,0.040127,0.015217,0.029867,0.039982,257
2026-05-26T18:49:21+00:00,200,0.032995,0.004968,0.027671,0.032849,257
2026-05-26T18:49:22+00:00,200,0.027615,0.013170,0.026720,0.027538,257
2026-05-26T18:49:22+00:00,200,0.026003,0.003050,0.022787,0.025800,257
2026-05-26T18:49:22+00:00,200,0.032883,0.013044,0.030241,0.032774,257
2026-05-26T18:49:22+00:00,200,0.022898,0.003780,0.019654,0.022725,257
2026-05-26T18:49:22+00:00,200,0.037299,0.014469,0.030496,0.037177,257
2026-05-26T18:49:23+00:00,200,0.030670,0.004871,0.020985,0.030578,257
2026-05-26T18:49:23+00:00,200,0.035891,0.012987,0.035132,0.035798,257
2026-05-26T18:49:23+00:00,200,0.038874,0.015093,0.028181,0.038784,257
2026-05-26T18:49:23+00:00,200,0.033212,0.005510,0.024374,0.033085,257
2026-05-26T18:49:23+00:00,200,0.031899,0.005549,0.028373,0.031737,257
2026-05-26T18:49:24+00:00,200,0.030398,0.009627,0.022808,0.030245,257
2026-05-26T18:49:24+00:00,200,0.037305,0.008982,0.027955,0.037184,257
2026-05-26T18:49:24+00:00,200,0.023209,0.000331,0.014738,0.023110,257
2026-05-26T18:49:24+00:00,200,0.039298,0.011342,0.028586,0.039180,257
